store,id,data
"retiros","girassol-2026-teste","{""id"":""girassol-2026-teste"",""nome"":""Girassol 2026"",""dataInicio"":""2026-07-10"",""dataTermino"":""2026-07-12"",""local"":""Casa de Retiros - Vale Europeu"",""coordenacaoGeral"":""Coordenacao Geral Teste"",""coordenacaoRetiro"":""Coordenacao Girassol 2026"",""valorInscricaoCursista"":180,""valorInscricaoVoluntario"":60,""valorFoto"":10,""setores"":[""Animacao"",""Camareiros(as)"",""Casal Bem-estar"",""Coordenacao do retiro"",""Coordenacao geral"",""Cozinha"",""Data Show"",""Enfermaria"",""Espaco Kids"",""Espiritual"",""Externo"",""Folclore"",""Jovem de sala"",""Ligacao"",""Recreacao"",""Refeitorio"",""Secretaria"",""Zeladoria""],""setoresPublicos"":[""Animacao"",""Camareiros(as)"",""Casal Bem-estar"",""Coordenacao do retiro"",""Coordenacao geral"",""Cozinha"",""Data Show"",""Enfermaria"",""Espaco Kids"",""Espiritual"",""Externo"",""Folclore"",""Jovem de sala"",""Ligacao"",""Recreacao"",""Refeitorio"",""Secretaria"",""Zeladoria""],""ordemQuadrante"":[""Animacao"",""Camareiros(as)"",""Casal Bem-estar"",""Coordenacao do retiro"",""Coordenacao geral"",""Cozinha"",""Data Show"",""Enfermaria"",""Espaco Kids"",""Espiritual"",""Externo"",""Folclore"",""Jovem de sala"",""Ligacao"",""Recreacao"",""Refeitorio"",""Secretaria"",""Zeladoria""],""dias"":[""Sexta-feira"",""Sabado"",""Domingo""],""contribuicoes"":[""R$ 60,00 se o voluntario for o unico da familia"",""R$ 55,00 se o voluntario tiver mais pessoas da mesma familia trabalhando no retiro""],""linksSetores"":[{""setor"":""Animacao"",""token"":""girassol26setor00""},{""setor"":""Camareiros(as)"",""token"":""girassol26setor01""},{""setor"":""Casal Bem-estar"",""token"":""girassol26setor02""},{""setor"":""Coordenacao do retiro"",""token"":""girassol26setor03""},{""setor"":""Coordenacao geral"",""token"":""girassol26setor04""},{""setor"":""Cozinha"",""token"":""girassol26setor05""},{""setor"":""Data Show"",""token"":""girassol26setor06""},{""setor"":""Enfermaria"",""token"":""girassol26setor07""},{""setor"":""Espaco Kids"",""token"":""girassol26setor08""},{""setor"":""Espiritual"",""token"":""girassol26setor09""},{""setor"":""Externo"",""token"":""girassol26setor10""},{""setor"":""Folclore"",""token"":""girassol26setor11""},{""setor"":""Jovem de sala"",""token"":""girassol26setor12""},{""setor"":""Ligacao"",""token"":""girassol26setor13""},{""setor"":""Recreacao"",""token"":""girassol26setor14""},{""setor"":""Refeitorio"",""token"":""girassol26setor15""},{""setor"":""Secretaria"",""token"":""girassol26setor16""},{""setor"":""Zeladoria"",""token"":""girassol26setor17""}],""status"":""publicado"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
"pessoas","91000100065","{""id"":""91000100065"",""cpf"":""91000100065"",""nome"":""Paulo Silva Fischer Teste"",""nomeNormalizado"":""paulo silva fischer teste"",""nascimento"":""1968-05-02"",""genero"":""Masculino"",""telefone"":""(47) 98100-2000"",""endereco"":""Rua das Flores"",""rua"":""Rua das Flores"",""numero"":""80"",""bairro"":""Centro"",""cep"":""89120-000"",""cidade"":""Timbo"",""estado"":""SC"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
"pessoas","91000100146","{""id"":""91000100146"",""cpf"":""91000100146"",""nome"":""Renata Souza Freitas Teste"",""nomeNormalizado"":""renata souza freitas teste"",""nascimento"":""1968-06-03"",""genero"":""Feminino"",""telefone"":""(47) 98101-2001"",""endereco"":""Rua das Flores"",""rua"":""Rua das Flores"",""numero"":""80"",""bairro"":""Centro"",""cep"":""89120-000"",""cidade"":""Timbo"",""estado"":""SC"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
"pessoas","91000100227","{""id"":""91000100227"",""cpf"":""91000100227"",""nome"":""Rodrigo Weber Goncalves Teste"",""nomeNormalizado"":""rodrigo weber goncalves teste"",""nascimento"":""1969-07-04"",""genero"":""Masculino"",""telefone"":""(47) 98102-2002"",""endereco"":""Rua Santa Catarina"",""rua"":""Rua Santa Catarina"",""numero"":""81"",""bairro"":""Estados"",""cep"":""89130-000"",""cidade"":""Indaial"",""estado"":""SC"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
"pessoas","91000100308","{""id"":""91000100308"",""cpf"":""91000100308"",""nome"":""Tatiane Almeida Krause Teste"",""nomeNormalizado"":""tatiane almeida krause teste"",""nascimento"":""1969-08-05"",""genero"":""Feminino"",""telefone"":""(47) 98103-2003"",""endereco"":""Rua Santa Catarina"",""rua"":""Rua Santa Catarina"",""numero"":""81"",""bairro"":""Estados"",""cep"":""89130-000"",""cidade"":""Indaial"",""estado"":""SC"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
"pessoas","91000100499","{""id"":""91000100499"",""cpf"":""91000100499"",""nome"":""Vinicius Bauer Lima Teste"",""nomeNormalizado"":""vinicius bauer lima teste"",""nascimento"":""1970-09-06"",""genero"":""Masculino"",""telefone"":""(47) 98104-2004"",""endereco"":""Rua Sao Jose"",""rua"":""Rua Sao Jose"",""numero"":""82"",""bairro"":""Nacoes"",""cep"":""89010-000"",""cidade"":""Blumenau"",""estado"":""SC"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
"pessoas","91000100570","{""id"":""91000100570"",""cpf"":""91000100570"",""nome"":""Aline Cardoso Muller Teste"",""nomeNormalizado"":""aline cardoso muller teste"",""nascimento"":""1970-10-07"",""genero"":""Feminino"",""telefone"":""(47) 98105-2005"",""endereco"":""Rua Sao Jose"",""rua"":""Rua Sao Jose"",""numero"":""82"",""bairro"":""Nacoes"",""cep"":""89010-000"",""cidade"":""Blumenau"",""estado"":""SC"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
"pessoas","91000100650","{""id"":""91000100650"",""cpf"":""91000100650"",""nome"":""Bruno Costa Oliveira Teste"",""nomeNormalizado"":""bruno costa oliveira teste"",""nascimento"":""1971-11-08"",""genero"":""Masculino"",""telefone"":""(47) 98106-2006"",""endereco"":""Rua das Palmeiras"",""rua"":""Rua das Palmeiras"",""numero"":""83"",""bairro"":""Quintino"",""cep"":""89121-000"",""cidade"":""Rio dos Cedros"",""estado"":""SC"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
"pessoas","91000100731","{""id"":""91000100731"",""cpf"":""91000100731"",""nome"":""Daniela Fischer Pereira Teste"",""nomeNormalizado"":""daniela fischer pereira teste"",""nascimento"":""1971-12-09"",""genero"":""Feminino"",""telefone"":""(47) 98107-2007"",""endereco"":""Rua das Palmeiras"",""rua"":""Rua das Palmeiras"",""numero"":""83"",""bairro"":""Quintino"",""cep"":""89121-000"",""cidade"":""Rio dos Cedros"",""estado"":""SC"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
"pessoas","91000100812","{""id"":""91000100812"",""cpf"":""91000100812"",""nome"":""Daniel Freitas Ribeiro Teste"",""nomeNormalizado"":""daniel freitas ribeiro teste"",""nascimento"":""1972-01-10"",""genero"":""Masculino"",""telefone"":""(47) 98108-2008"",""endereco"":""Avenida Central"",""rua"":""Avenida Central"",""numero"":""84"",""bairro"":""Das Capitais"",""cep"":""89120-000"",""cidade"":""Timbo"",""estado"":""SC"",""simulation"":""simulacao_girassol_2026_csv"",""createdAt"":""2026-07-05T02:36:48.031Z"",""updatedAt"":""2026-07-05T02:36:48.031Z""}"
